; PERSON  r2Winsteps  Apr  1 2016 12:33
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ IN.ZST OUT.MS OUT.ZS  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE NAME
     1   -3.23 -1     5.0       .0   1.93   1.00    .00   1.00    .00    .00    .00   1.00 100.0 100.0   .00   .00   -3.23 1086 | Male   | Black
     2   -3.23 -1     5.0       .0   1.93   1.00    .00   1.00    .00    .00    .00   1.00 100.0 100.0   .00   .00   -3.23 978  | Male   | White
     3   -3.23 -1     5.0       .0   1.93   1.00    .00   1.00    .00    .00    .00   1.00 100.0 100.0   .00   .00   -3.23 958  | Male   | Latino
     4   -1.72  1     5.0      1.0   1.21   1.09    .35    .73    .18    .00    .37   1.00  80.0  80.0   .37   .39   -1.41 987  | Female | White
     5   -1.72  1     5.0      1.0   1.21   1.09    .35    .73    .18    .00    .37   1.00  80.0  80.0   .37   .39   -1.41 1123 | Female | White
     6   -1.72  1     5.0      1.0   1.21   1.09    .35    .73    .18    .00    .37   1.00  80.0  80.0   .37   .39   -1.41 1004 | Male   | White
     7   -1.72  1     5.0      1.0   1.21   1.09    .35    .73    .18    .00    .37   1.00  80.0  80.0   .37   .39   -1.41 1106 | Male   | Multiple
     8   -1.72  1     5.0      1.0   1.21   1.09    .35    .73    .18    .00    .37   1.00  80.0  80.0   .37   .39   -1.41 1116 | Male   | White
     9   -1.72  1     5.0      1.0   1.21   1.09    .35    .73    .18    .00    .37   1.00  80.0  80.0   .37   .39   -1.41 809  | Female | Black
    10   -1.72  1     5.0      1.0   1.21   1.54    .95   1.59    .82    .00   -.08   1.00  80.0  80.0   .37   .46   -1.41 996  | Female | White
    11   -1.72  1     5.0      1.0   1.21   1.54    .95   1.59    .82    .00   -.08   1.00  80.0  80.0   .37   .46   -1.41 811  | Male   | Latino
    12    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 1158 | Female | White
    13    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 936  | Female | White
    14    -.52  1     5.0      2.0   1.03   1.32    .79   1.20    .50    .00    .24   1.00  60.0  72.3   .46   .50    -.46 905  | Male   | White
